epoch,accuracy,loss,val_accuracy,val_loss
0,0.102868065,2.841287136,0.163833082,2.512853622
1,0.173231363,2.545521498,0.33075735,2.243541479
2,0.240535378,2.325900793,0.426584244,2.036074877
3,0.308221787,2.136376143,0.455950528,1.9099195
4,0.387762904,1.959097505,0.513137579,1.760483742
5,0.413766742,1.837334394,0.567233384,1.617579937
6,0.453154862,1.730107665,0.584234953,1.512889028
7,0.488718927,1.632168531,0.598145306,1.465222239
8,0.496367127,1.579437494,0.642967522,1.3449651
9,0.53613764,1.503475189,0.612055659,1.342407942
10,0.53499043,1.459015608,0.610510051,1.317463875
11,0.537284911,1.425324559,0.63678515,1.272882104
12,0.560994267,1.362273932,0.629057169,1.280772805
13,0.572084129,1.31697011,0.621329188,1.219124556
14,0.570172071,1.325191379,0.608964443,1.242185235
15,0.585850835,1.268200159,0.653786719,1.152447462
16,0.598087966,1.254383564,0.673879445,1.10375607
17,0.609942615,1.213464379,0.656877875,1.112671137
18,0.60726577,1.204422593,0.664605856,1.14952147
19,0.62256217,1.160869479,0.687789798,1.071565628
20,0.616825998,1.170364261,0.683153033,1.097973824
21,0.626768649,1.134158254,0.673879445,1.032496095
22,0.627915859,1.140290618,0.666151464,1.038792372
23,0.640152991,1.125980616,0.703245759,1.018487573
24,0.648183584,1.094415426,0.681607425,1.005767822
25,0.635946453,1.111486912,0.672333837,1.048371673
26,0.640152991,1.073965907,0.678516209,1.011826158
27,0.637476087,1.082930207,0.69397217,1.003667593
28,0.647801161,1.069476485,0.690881014,1.000677943
29,0.63785851,1.064766765,0.676970661,1.000385284
30,0.639005721,1.082387567,0.692426562,1.02402544
31,0.656214178,1.017781377,0.701700151,0.984090686
32,0.657361388,1.031746745,0.692426562,0.965279102
33,0.649330795,1.037419677,0.717156112,0.941672385
34,0.674569786,0.982731938,0.69397217,0.955439031
35,0.682600379,0.973239839,0.681607425,0.945960402
36,0.670363307,0.998432338,0.68624419,0.95148325
37,0.670745671,0.995793402,0.689335406,0.970486343
38,0.66080308,1.009951472,0.695517778,0.965778351
39,0.673422575,0.980754912,0.714064896,0.88129282
40,0.682217956,0.965753257,0.71097374,0.917172074
41,0.675716996,0.976926684,0.701700151,0.904001713
42,0.671892941,0.95882988,0.717156112,0.887437046
43,0.6783939,0.974664569,0.712519348,0.888483226
44,0.691013396,0.951209486,0.698608935,0.937265277
45,0.681070745,0.943086743,0.71097374,0.896357238
46,0.690248549,0.935238302,0.715610504,0.894727468
47,0.677629054,0.957805991,0.712519348,0.860555887
48,0.689866185,0.931544483,0.706336915,0.912010252
49,0.703250468,0.916692376,0.697063386,0.934272587
50,0.68374759,0.918594658,0.704791367,0.892811537
51,0.689101338,0.92687422,0.712519348,0.897175193
52,0.702103257,0.891489804,0.714064896,0.892175972
53,0.694072664,0.917859614,0.734157622,0.865470469
54,0.68604207,0.923376918,0.717156112,0.862605691
55,0.682982802,0.93018496,0.689335406,0.901204467
56,0.696367085,0.893860817,0.695517778,0.889647007
57,0.702103257,0.894940615,0.687789798,0.921279252
58,0.689101338,0.928876102,0.706336915,0.885756791
59,0.689866185,0.908413947,0.706336915,0.888206601
60,0.681453168,0.92383641,0.727975249,0.881080389
61,0.698661566,0.892000854,0.71097374,0.886144817
62,0.700573623,0.914687097,0.723338485,0.87949568
63,0.705162525,0.889672458,0.71097374,0.88501215
64,0.704397678,0.869445145,0.73570323,0.838538527
65,0.713575542,0.867188871,0.709428132,0.904341578
66,0.70898664,0.871319234,0.704791367,0.871935606
67,0.704780102,0.882093072,0.743431211,0.817661643
68,0.710133851,0.856040657,0.757341564,0.819374681
69,0.703250468,0.890169501,0.731066465,0.821495473
70,0.703250468,0.868003309,0.715610504,0.872140765
71,0.709751427,0.860606909,0.720247269,0.842551112
72,0.708221793,0.840820849,0.726429701,0.831638157
73,0.704780102,0.864347458,0.746522427,0.798971534
74,0.696749508,0.871968448,0.724884093,0.835387826
75,0.715487599,0.838266492,0.71097374,0.889502883
76,0.719311655,0.844638228,0.717156112,0.851970673
77,0.702103257,0.871540487,0.738794446,0.819132149
78,0.694072664,0.864712179,0.741885602,0.800004482
79,0.727342248,0.824957788,0.741885602,0.826466024
80,0.697131932,0.870411098,0.766615152,0.807216346
81,0.710133851,0.836306453,0.715610504,0.829794943
82,0.706309736,0.857389927,0.721792877,0.847057521
83,0.713957906,0.860411406,0.720247269,0.818445206
84,0.722370923,0.829682469,0.717156112,0.852988183
85,0.710133851,0.855178237,0.71870172,0.836263239
86,0.708604217,0.844611824,0.763523936,0.777972281
87,0.709751427,0.847648323,0.707882524,0.842592776
88,0.712810695,0.847428799,0.709428132,0.799200356
89,0.722370923,0.814971089,0.706336915,0.854735494
90,0.732313573,0.810559392,0.749613583,0.779242337
